Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
3.5,45,12,311,356,557,9,1191
3.5,45,8,280,576,15,9,1213
3.5,45,9,343,305,547,9,1129
3.5,45,14,354,631,103,9,1014
3.5,40,4,237,603,277,9,1793
3.44,19,7,91,407,471,9,1443
3.4,45,8,371,146,547,9,997
3.4,19,8,527,328,0,9,990
3.35,8,2,121,136,0,9,2327
3.35,45,5,280,498,578,9,1295
3.35,45,5,273,146,37,9,1317
3.34,44,8,289,458,182,9,1256
3.31,8,2,225,494,114,9,1389
3.3,45,14,78,550,348,9,1948
3.3,45,13,245,500,443,9,1752
3.3,45,10,42,292,180,9,1546
3.3,37,15,460,165,143,9,1133
3.3,19,6,359,165,471,9,1360
3.25,45,8,62,348,306,9,1059
3.24,8,14,30,0,0,9,3018
3.21,15,12,282,59,157,9,1032
3.2,45,6,526,505,228,9,3243
3.2,45,8,524,221,121,9,1255
3.2,19,7,461,528,68,9,1099
3.2,6,8,10,228,78,9,1087
3.2,45,10,332,621,330,9,1273
3.2,45,12,14,505,604,9,940
3.2,45,6,524,36,271,9,1224
3.2,45,10,520,216,194,9,952
3.2,45,12,459,0,0,9,967
3.15,45,9,410,364,73,9,1115
3.1,19,15,156,356,360,9,2172
3.1,45,8,500,143,262,9,1682
3.1,5,6,306,463,15,9,1094
3.0,8,13,460,518,311,4,3187
3.0,20,16,234,185,173,9,2783
3.0,8,6,362,617,135,9,2479
3.0,44,8,109,0,0,9,2456
3.0,45,8,227,173,15,9,2284
3.0,8,7,460,629,207,9,2220
3.0,17,2,258,597,216,9,1855
3.0,5,14,74,90,0,9,1715
3.2,6,7,47,445,40,9,1563
3.0,45,4,462,502,125,9,1365
3.0,45,12,266,427,0,9,1297
3.0,45,8,138,600,402,9,1253
3.0,45,12,472,549,547,9,1212
3.0,44,10,113,338,170,9,1794
3.0,45,12,492,293,231,9,1143
3.0,45,7,271,0,0,9,3026
3.0,45,10,103,96,146,9,1121
3.0,17,12,69,246,547,9,1114
3.0,45,12,538,572,79,9,1101
3.0,45,12,290,245,330,9,2067
3.0,45,12,329,341,120,9,1239
3.1,17,15,136,58,143,9,1239
3.0,46,12,192,9,507,9,1046
3.0,45,7,540,576,329,9,1219
3.0,45,8,527,307,297,9,1036
3.0,19,8,527,507,446,9,1226
3.0,45,12,14,547,229,9,1591
3.3,45,2,6,476,412,9,1599
3.0,45,8,42,98,337,9,974
3.0,45,8,136,68,465,9,945
3.0,45,12,307,573,604,9,1241
3.0,45,8,244,113,234,9,1255
3.0,45,8,72,49,446,9,916
3.0,45,8,273,505,217,9,1129
3.0,45,14,371,19,84,9,1274
2.92,45,8,92,581,453,9,1878
2.92,45,1,307,0,0,9,1851
2.9,45,12,211,464,66,9,1781
2.9,5,6,357,49,426,9,1686
2.85,19,8,280,507,53,9,1112
2.85,45,8,412,480,15,9,1091
2.85,17,6,365,102,423,9,988
2.85,16,8,273,561,418,9,1214
2.8,8,13,527,100,609,9,2976
2.8,45,15,459,73,229,9,1914
2.77,44,1,166,442,34,9,2067
2.75,45,4,159,217,218,9,3411
2.75,45,7,282,401,292,9,1190
2.75,42,13,338,303,276,9,1142
2.74,22,4,226,307,582,9,1150
3.95,8,2,250,461,112,9,905
2.7,45,8,384,503,310,9,2269
2.7,45,12,238,0,0,9,1066
2.7,37,12,207,532,0,9,722
2.7,45,1,302,0,0,9,1570
2.7,44,8,102,492,268,9,990
2.66,29,8,363,0,0,9,798
2.6,16,6,226,443,405,9,1137
2.62,45,12,434,254,277,9,1129
2.6,45,12,139,84,129,9,1764
2.6,45,12,280,322,324,9,1269
2.6,45,4,555,90,165,9,1263
2.0,8,12,288,71,585,9,2320
2.62,45,5,213,245,73,9,1067
2.6,5,1,80,245,457,9,1108
2.55,15,10,206,351,341,9,863
2.59,45,3,307,287,197,9,2450
2.5,45,5,282,114,469,9,1086
2.5,43,14,441,0,0,9,2549
2.5,8,2,190,565,559,9,2309
2.5,45,12,137,587,348,9,1242
2.5,19,6,14,576,383,9,1267
2.5,45,8,570,569,242,9,1071
2.5,22,4,48,519,235,9,1367
2.5,45,4,570,246,0,9,1163
2.5,45,12,110,19,229,9,1149
2.5,45,4,14,77,277,9,1205
2.68,19,12,461,327,15,9,1091
2.5,45,0,130,371,378,9,911
2.5,45,10,518,211,333,9,904
2.5,1,8,192,29,534,9,892
2.5,45,14,498,400,0,9,890
2.5,45,9,501,430,503,9,883
2.5,19,12,527,568,345,9,869
2.5,45,6,245,359,143,9,1233
2.5,22,12,78,442,139,9,1296
2.45,22,12,78,187,65,9,1038
2.45,0,8,488,474,365,9,1098
2.45,19,12,461,467,223,9,1065
2.44,45,4,483,114,503,9,1836
2.41,8,8,465,140,238,9,2732
2.41,8,2,465,140,238,9,1184
2.41,45,8,443,307,437,9,1567
2.4,45,9,240,505,589,9,3283
2.4,19,8,276,529,0,9,1928
2.4,45,8,325,466,362,9,1204
2.4,45,4,383,54,330,9,1171
2.4,45,4,349,233,191,9,1067
2.4,45,8,502,176,73,9,1492
2.4,45,14,502,358,182,9,1239
2.4,45,12,383,281,24,9,1199
2.4,45,14,521,206,0,9,849
2.62,45,15,186,13,110,9,1171
2.62,45,10,42,168,450,9,1450
2.35,44,8,391,396,126,9,1171
2.35,38,12,308,526,45,9,988
2.34,37,6,270,398,0,9,3263
2.32,8,9,544,295,232,9,1458
2.31,16,14,517,255,0,9,1459
2.3,45,1,440,401,106,9,3215
2.85,45,15,240,303,464,9,1941
2.3,45,14,432,109,539,9,1647
